Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Sundaram LT Tax Ad Sr III Dir Gr	Direct Plan	ELSS (Tax Savings)			1.20%	-9.02%	-10.80%	-9.38%	-11.94%	5.17%	3.91%	16.27%	20.43%	
HSBC Business Cycles Dir Gr	Direct Plan	Equity - Other			-0.61%	-11.71%	-13.81%	-14.14%	-14.58%	-7.06%	3.26%	16.27%	14.73%	13.53%
WhiteOak Capital Large Cap Dir Gr	Direct Plan	Large-Cap	4.0		-0.30%	-10.26%	-12.30%	-8.34%	-12.89%	-1.41%	5.05%	16.25%		
Bank of India Large & Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap	3.0		0.08%	-8.69%	-9.82%	-3.54%	-10.54%	3.25%	3.69%	16.24%	14.57%	13.66%
Nippon India ELSS Tax Saver DirGr	Direct Plan	ELSS (Tax Savings)	3.0		-0.71%	-9.93%	-9.77%	-7.78%	-10.40%	-0.55%	3.83%	16.21%	14.02%	11.43%
JM ELSS Tax Save Dir Gr	Direct Plan	ELSS (Tax Savings)	4.0		-2.09%	-10.47%	-15.50%	-11.38%	-15.50%	-4.25%	3.47%	16.10%	13.89%	15.94%
SBI Large & Midcap Dir Gr	Direct Plan	Large & Mid-Cap	4.0		-0.26%	-11.36%	-10.03%	-5.39%	-10.84%	2.18%	7.07%	16.06%	15.84%	15.39%
HSBC Flexi Cap Dir Gr	Direct Plan	Flexi Cap	4.0		-0.20%	-10.78%	-12.46%	-10.74%	-13.35%	-1.78%	3.23%	16.06%	13.34%	13.26%
HDFC Nifty 100 Equal Weight Index Dir Gr	Direct Plan	Index Funds			-2.63%	-12.03%	-12.21%	-9.15%	-12.21%	-1.21%	1.27%	16.02%		
ITI ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	3.0		-2.51%	-11.91%	-16.17%	-13.89%	-16.17%	-4.51%	0.67%	16.01%	12.02%	
UTI Value fund Dir Gr	Direct Plan	Value	3.0		-0.97%	-11.45%	-13.66%	-9.77%	-14.33%	-3.78%	5.60%	16.01%	13.19%	13.88%
