Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Mirae Asset Large Cap Dir Gr	Direct Plan	Large-Cap	4.0		-0.93%	-11.92%	-14.59%	-10.20%	-15.19%	-3.82%	2.66%	10.83%	9.71%	13.50%
HDFC Nifty 100 Index Dir Gr	Direct Plan	Index Funds			-2.64%	-11.64%	-14.22%	-9.45%	-14.22%	-4.18%	0.60%	10.78%		
HDFC Business Cycle Dir Gr	Direct Plan	Equity - Other			-2.26%	-11.11%	-13.93%	-13.51%	-13.93%	-5.33%	-0.32%	10.78%		
Navi ELSS Tax Saver Fund Dir Gr	Direct Plan	ELSS (Tax Savings)	2.0		-3.12%	-10.61%	-13.83%	-7.82%	-13.83%	-3.16%	1.58%	10.77%	10.39%	12.11%
Tata Small Cap Fund Dir Gr	Direct Plan	Small-Cap	2.0		-0.23%	-11.47%	-16.08%	-22.74%	-17.44%	-15.44%	-2.08%	10.71%	16.65%	
Sundaram Value Direct Growth	Direct Plan	ELSS (Tax Savings)	2.0		-1.06%	-12.57%	-13.91%	-10.32%	-14.72%	-4.23%	0.60%	10.67%	10.34%	11.40%
PGIM India Flexi Cap Dir Gr	Direct Plan	Flexi Cap	3.0		-2.10%	-9.99%	-12.75%	-9.90%	-12.75%	-2.66%	2.62%	10.65%	11.14%	14.80%
Aditya BSL MNC Dir Gr	Direct Plan	Equity - Other			-0.66%	-11.30%	-13.53%	-15.47%	-14.19%	-4.60%	0.28%	10.62%	5.35%	8.36%
UTI Large cap Dir Gr	Direct Plan	Large-Cap	3.0		-0.50%	-11.24%	-14.33%	-10.73%	-14.95%	-5.35%	0.75%	10.58%	9.07%	11.90%
Axis ESG Integration Strategy Dir Gr	Direct Plan	Equity - ESG	1.0		-1.92%	-10.28%	-13.54%	-9.44%	-13.54%	-5.15%	0.12%	10.58%	8.12%	
Axis Large Cap Fund Dir Gr	Direct Plan	Large-Cap	3.0		-0.73%	-11.17%	-12.47%	-9.72%	-13.06%	-5.21%	0.02%	10.56%	7.65%	12.71%
SBI Equity Minimum Variance Dir Gr	Direct Plan	Equity - Other			-1.48%	-9.47%	-12.23%	-7.93%	-12.23%	-3.05%	-1.17%	10.53%	10.68%	
Bandhan Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-0.82%	-11.31%	-13.83%	-9.08%	-14.46%	-4.12%	0.96%	10.40%	9.57%	12.30%
Nippon India Index Nifty 50 Dir Gr	Direct Plan	Index Funds			-0.80%	-11.29%	-13.81%	-9.06%	-14.44%	-4.09%	1.02%	10.40%	9.53%	12.09%
SBI Technology Opportunities Dir Gr	Direct Plan	Sector - Technology			-1.03%	-6.24%	-22.14%	-14.90%	-22.16%	-9.07%	1.57%	10.40%	11.57%	15.52%
DSP Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-0.81%	-11.29%	-13.83%	-9.07%	-14.46%	-4.13%	0.99%	10.39%	9.52%	
UTI Nifty 50 Index Fund Dir Gr	Direct Plan	Index Funds			-0.81%	-11.32%	-13.85%	-9.10%	-14.48%	-4.17%	0.97%	10.38%	9.53%	12.24%
Aditya BSL Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-0.81%	-11.30%	-13.83%	-9.07%	-14.46%	-4.15%	0.97%	10.37%	9.46%	11.81%
SBI Nifty Index Dir Gr	Direct Plan	Index Funds			-0.81%	-11.32%	-13.86%	-9.14%	-14.49%	-4.25%	0.92%	10.35%	9.49%	12.09%
ICICI Pru Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-0.80%	-11.29%	-13.83%	-9.10%	-14.46%	-4.18%	0.93%	10.34%	9.50%	12.08%
Franklin India NSE Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-0.80%	-11.26%	-13.85%	-9.07%	-14.48%	-4.15%	0.99%	10.31%	9.42%	11.86%
Quant Multi Cap Dir Gr	Direct Plan	Multi-Cap	4.0		-2.23%	-7.48%	-11.67%	-11.46%	-11.67%	-7.17%	-5.79%	10.31%	13.72%	17.03%
Axis Focused Dir Gr	Direct Plan	Focused Fund	2.0		-1.02%	-10.77%	-13.13%	-12.92%	-13.53%	-7.20%	-1.32%	10.29%	5.54%	12.13%
360 ONE ELSS Tax Saver Nifty 50 IdxDrGr	Direct Plan	ELSS (Tax Savings)	2.0		-0.74%	-11.20%	-13.73%	-9.02%	-14.35%	-4.18%	0.98%	10.28%		
Tata Nifty 50 Index Dir	Direct Plan	Index Funds			-0.81%	-11.33%	-13.92%	-9.16%	-14.55%	-4.27%	0.85%	10.25%	9.46%	12.14%
Union Largecap Dir Gr	Direct Plan	Large-Cap	3.0		-2.70%	-11.52%	-12.46%	-9.44%	-12.46%	-4.73%	-0.84%	10.20%	9.78%	
Mirae Ast Nifty 100 ESG Sect LdrsFOFDrGr	Direct Plan	Equity - ESG	3.0		-2.65%	-10.77%	-14.58%	-9.92%	-14.58%	-4.65%	0.55%	10.08%	8.40%	
Taurus Banking & Fin Services Dir Gr	Direct Plan	Sector - Financial Services	4.0		-3.44%	-12.83%	-12.97%	-9.51%	-12.97%	-3.85%	2.29%	10.07%	9.87%	13.33%
LIC MF Banking & Fin Serv Dir Gr	Direct Plan	Sector - Financial Services	2.0		-3.59%	-13.58%	-14.33%	-6.84%	-14.33%	2.37%	4.41%	10.00%	10.57%	10.47%
Motilal Oswal Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-2.54%	-11.31%	-14.46%	-9.06%	-14.46%	-4.12%	1.01%	9.84%	9.78%	
Navi Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-2.54%	-11.31%	-14.46%	-9.07%	-14.46%	-4.10%	1.01%	9.83%		
Axis Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-2.52%	-11.27%	-14.42%	-9.04%	-14.42%	-4.10%	1.01%	9.82%		
HSBC Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-2.52%	-11.30%	-14.47%	-9.08%	-14.47%	-4.14%	0.94%	9.79%	9.75%	
HDFC Nifty 50 Index Dir	Direct Plan	Index Funds			-2.54%	-11.32%	-14.48%	-9.12%	-14.48%	-4.21%	0.91%	9.75%	9.72%	12.17%
Edelweiss Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-2.55%	-11.31%	-14.45%	-9.04%	-14.45%	-4.06%	0.96%	9.74%		
Navi ELSS Tax Saver Nfty 50 Idx Dr Gr	Direct Plan	ELSS (Tax Savings)			-2.54%	-11.32%	-14.48%	-9.13%	-14.48%	-4.19%	0.95%	9.69%		
Kotak Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-2.55%	-11.31%	-14.46%	-9.06%	-14.46%	-4.09%	0.89%	9.67%		
Motilal Oswal Focused Dir Gr	Direct Plan	Focused Fund	2.0		0.51%	-7.85%	-9.10%	-4.96%	-10.08%	4.22%	-0.75%	9.65%	6.95%	11.86%
Nippon India Nifty 50 Value 20 I Dir Gr	Direct Plan	Index Funds			-2.09%	-10.13%	-12.58%	-6.74%	-12.58%	-6.04%	-1.09%	9.59%	10.98%	
LIC MF Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-2.52%	-11.31%	-14.55%	-9.30%	-14.55%	-4.49%	0.78%	9.57%	9.61%	11.79%
DSP Quant Dir Gr	Direct Plan	Equity - Other			-0.17%	-11.63%	-14.00%	-8.16%	-14.46%	-2.35%	0.61%	9.51%	7.32%	
Quantum ESG Best In Class StgyFundDirGr	Direct Plan	Equity - ESG	3.0		-2.82%	-12.58%	-15.47%	-13.00%	-15.47%	-7.58%	-0.91%	9.46%	8.36%	
Tata Large & Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap	2.0		-0.88%	-13.29%	-16.60%	-14.54%	-17.37%	-11.09%	-2.29%	9.31%	10.23%	12.92%
Shriram ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	2.0		-2.39%	-10.92%	-13.56%	-9.07%	-13.56%	-5.39%	-3.53%	9.30%	9.03%	
Invesco India ESG Int StgyDir Gr	Direct Plan	Equity - ESG	2.0		-2.63%	-11.60%	-16.80%	-14.89%	-16.80%	-10.63%	-1.14%	9.27%	9.25%	
Shriram Flexi Cap Dir Gr	Direct Plan	Flexi Cap	2.0		-2.37%	-10.95%	-13.62%	-9.16%	-13.62%	-6.07%	-4.67%	9.26%	9.11%	
LIC MF Large Cap Dir Gr	Direct Plan	Large-Cap	2.0		-2.77%	-11.94%	-15.46%	-11.60%	-15.46%	-5.82%	0.59%	9.03%	8.70%	11.13%
PGIM India Large Cap Dr Pl Gr	Direct Plan	Large-Cap	2.0		-2.69%	-11.03%	-14.32%	-10.40%	-14.32%	-4.71%	0.17%	8.93%	8.77%	11.11%
Taurus Nifty 50 Index Dir Gr	Direct Plan	Index Funds			-2.52%	-11.27%	-14.53%	-9.32%	-14.53%	-4.64%	0.30%	8.90%	9.01%	11.91%
PGIM India ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	3.0		-2.61%	-11.15%	-14.82%	-12.19%	-14.82%	-7.29%	1.23%	8.87%	11.40%	13.38%
Tata Ethical Dir Gr	Direct Plan	Equity - Other			-0.10%	-9.59%	-13.11%	-10.27%	-13.71%	-6.75%	-1.71%	8.75%	9.84%	11.70%
Nippon India Idx BSE Sensex Dir Gr	Direct Plan	Index Funds			-1.03%	-11.49%	-15.00%	-10.25%	-15.55%	-6.22%	-0.26%	8.53%	8.52%	11.97%
ICICI Pru Technology Dir Gr	Direct Plan	Sector - Technology			-0.67%	-6.95%	-22.83%	-14.77%	-22.86%	-13.22%	-2.45%	8.45%	8.97%	15.48%
Tata BSE Sensex Index Dir	Direct Plan	Index Funds			-1.04%	-11.51%	-15.11%	-10.30%	-15.65%	-6.35%	-0.37%	8.38%	8.29%	11.88%
LIC MF Focused Dir Gr	Direct Plan	Focused Fund	2.0		-3.97%	-10.79%	-14.28%	-11.51%	-14.28%	-4.60%	0.54%	8.16%	9.22%	
Tata Digital India Dir Gr	Direct Plan	Sector - Technology			-0.64%	-6.29%	-23.08%	-15.72%	-23.08%	-15.48%	-4.83%	8.11%	8.96%	15.45%
UTI Flexi Cap Dir Gr	Direct Plan	Flexi Cap	2.0		0.13%	-10.26%	-15.59%	-15.82%	-16.26%	-10.18%	0.23%	8.09%	5.43%	11.54%
Motilal Oswal Nifty Bank Index Dir Gr	Direct Plan	Index Funds			-4.43%	-16.95%	-15.68%	-8.12%	-15.68%	-1.94%	3.91%	7.99%	9.05%	
ICICI Pru Nifty Bank Index Dir Gr	Direct Plan	Index Funds			-4.43%	-16.92%	-15.64%	-8.06%	-15.64%	-1.90%	3.91%	7.97%		
Navi Nifty Bank Index Dir Gr	Direct Plan	Index Funds			-4.46%	-16.99%	-15.72%	-8.16%	-15.72%	-2.02%	3.89%	7.95%		
UTI BSE Sensex Index Fund Dir Gr	Direct Plan	Index Funds			-2.87%	-11.50%	-15.55%	-10.23%	-15.55%	-6.19%	-0.24%	7.89%		
ICICI Pru BSE Sensex Index Dir Gr	Direct Plan	Index Funds			-2.87%	-11.49%	-15.55%	-10.26%	-15.55%	-6.23%	-0.24%	7.89%	8.74%	
HDFC BSE Sensex Index Dir	Direct Plan	Index Funds			-2.87%	-11.52%	-15.58%	-10.28%	-15.58%	-6.25%	-0.28%	7.87%	8.76%	12.01%
LIC MF BSE Sensex Index Dir Gr	Direct Plan	Index Funds			-2.75%	-11.40%	-15.55%	-10.38%	-15.55%	-6.53%	-0.52%	7.64%	8.58%	11.61%
HDFC MNC Dir Gr	Direct Plan	Equity - Other			-1.90%	-12.59%	-12.56%	-11.57%	-12.56%	-2.94%	-1.68%	7.02%		
Kotak Intl REIT Ovrs Eq Omni FOF Dir Gr	Direct Plan	Global - Other			-0.54%	-7.38%	-5.02%	-2.82%	-4.66%	15.99%	8.43%	6.92%	3.23%	
Aditya BSL Digital India Dir Gr	Direct Plan	Sector - Technology			-0.75%	-6.30%	-23.19%	-16.19%	-23.23%	-13.58%	-5.63%	6.88%	7.89%	15.46%
Mirae Asset Focused Dir Gr	Direct Plan	Focused Fund	2.0		-2.70%	-12.78%	-19.59%	-17.21%	-19.59%	-9.51%	-0.92%	6.63%	7.09%	
SBI MNC Dir Gr	Direct Plan	Equity - Other			0.14%	-8.25%	-6.37%	-4.71%	-6.68%	-2.04%	-0.55%	6.35%	8.34%	10.93%
Mahindra Manu APAC REITs FOF Dir Gr	Direct Plan	Global - Other			-0.60%	-5.21%	-0.12%	2.31%	-0.12%	22.57%	13.21%	5.79%		
Samco ELSS Tax Saver Dir Gr	Direct Plan	ELSS (Tax Savings)	1.0		-1.88%	-10.91%	-13.46%	-13.33%	-13.46%	-6.57%	-6.90%	5.19%		
ICICI Pru Nifty IT Index Dir Gr	Direct Plan	Index Funds			-1.98%	-5.07%	-22.95%	-12.68%	-22.95%	-19.53%	-7.01%	2.21%		
Samco Flexi Cap Dir Gr	Direct Plan	Flexi Cap	1.0		-1.37%	-11.12%	-11.04%	-11.04%	-11.04%	-6.97%	-11.17%	1.28%		
ICICI Pru FMCG Dir Gr	Direct Plan	Sector - FMCG			-0.57%	-11.24%	-16.44%	-17.15%	-17.10%	-13.47%	-6.34%	0.97%	7.97%	10.75%
MotilalOswalDvMktExUSETFsOvsEqPsvFOFDrGr	Direct Plan	Global - Other			-0.96%	-7.43%	3.07%	9.26%	3.42%	31.16%	19.07%			
SBI BSE PSU Bank Idx Dir Gr	Direct Plan	Index Funds			-4.19%	-20.02%	-7.53%	3.49%	-8.64%	24.93%				
Motilal Oswal Nifty Cptl Mkt Idx Dir Gr	Direct Plan	Index Funds			0.01%	-7.65%	-7.41%	2.70%	-8.61%	24.88%				
Tata Nifty Capital Markets Idx Dir Gr	Direct Plan	Index Funds			-0.02%	-7.68%	-7.53%	2.52%	-8.73%	24.33%				
Motilal Oswal Nifty MdSmFinclSvcsIdxDrGr	Direct Plan	Index Funds			-0.91%	-12.23%	-11.94%	0.27%	-12.93%	20.24%				
SBI Automotive Opportunities Dir Gr	Direct Plan	Equity - Other			0.23%	-12.17%	-8.43%	-2.87%	-9.67%	19.64%				
Quant BFSI Dir Gr	Direct Plan	Sector - Financial Services			-2.11%	-11.16%	-13.25%	-5.15%	-13.25%	15.88%	6.41%			
ICICI Pru Nifty200 Val 30 Idx Dir Gr	Direct Plan	Index Funds			-0.22%	-12.43%	-2.46%	6.42%	-4.01%	14.70%				
Axis Nifty500 Value 50 Index Dir Gr	Direct Plan	Value			0.63%	-11.08%	-1.83%	4.02%	-3.27%	13.81%				
Bandhan Nifty 500 Value 50 Index Dir Gr	Direct Plan	Index Funds			0.61%	-11.25%	-2.06%	3.76%	-3.51%	13.36%				
UTI Nifty 500 Value 50 Index Dir Gr	Direct Plan	Index Funds			0.61%	-11.24%	-2.07%	3.77%	-3.51%	13.28%	9.59%			
HDFC Trsptn & Logistics Dir Gr	Direct Plan	Equity - Other			-2.80%	-14.62%	-14.34%	-13.40%	-14.34%	13.21%	8.96%			
Motilal Oswal Nifty IND Dfnc Idx Dir Gr	Direct Plan	Index Funds			-2.43%	-11.22%	-5.49%	-8.04%	-6.74%	12.84%				
Aditya BSL Nifty India Dfnc Idx Dir Gr	Direct Plan	Index Funds			-2.43%	-11.20%	-5.46%	-8.00%	-6.72%	12.76%				
Kotak MNC Dir Gr	Direct Plan	Equity - Other			0.94%	-9.39%	-5.82%	-2.76%	-6.44%	12.68%				
Groww Nifty IND Dfnc ETF FoF Dir Gr	Direct Plan	Equity - Other			-1.97%	-11.09%	-5.70%	-8.20%	-6.78%	12.65%				
Nippon India Nifty Auto Idx Dir Gr	Direct Plan	Index Funds			-0.65%	-15.45%	-14.63%	-10.30%	-15.54%	12.31%				
Tata Nifty Auto Index Dir Gr	Direct Plan	Index Funds			-0.66%	-15.60%	-14.75%	-10.57%	-15.66%	12.05%				
HDFC Defence Dir Gr	Direct Plan	Equity - Other			-4.05%	-11.51%	-6.60%	-7.57%	-6.60%	11.48%	16.44%			
Kotak BSE PSU Index Dir Gr	Direct Plan	Index Funds			-1.68%	-12.20%	-2.71%	0.39%	-4.10%	10.41%				
Baroda BNP Paribas Manufctrng Dir Gr	Direct Plan	Equity - Other			0.00%	-9.01%	-4.82%	-1.01%	-5.70%	10.18%				
ICICI Prudential Energy Opps Dir Gr	Direct Plan	Sector - Energy			0.10%	-7.49%	-0.96%	0.58%	-2.90%	9.85%				
Kotak Trsptn & Lgstcs Dir Gr	Direct Plan	Equity - Other			-0.81%	-14.05%	-14.52%	-13.31%	-15.16%	8.96%				
LIC MF Manufacturing Dir Gr	Direct Plan	Equity - Other			-0.84%	-10.33%	-6.31%	-6.89%	-7.32%	8.76%				
Aditya BSL Trsptn andLogisticsDirGr	Direct Plan	Equity - Other			-0.52%	-13.85%	-14.12%	-12.21%	-14.83%	8.39%	3.57%			
HDFC Pharma and Healthcare Dir Gr	Direct Plan	Sector - Healthcare			0.36%	-4.36%	-1.19%	1.88%	-1.19%	7.90%	18.96%			
Kotak Nifty Commodities Index Dir Gr	Direct Plan	Index Funds			0.86%	-8.22%	-2.31%	1.75%	-3.86%	7.88%				
Groww Multicap Dir Gr	Direct Plan	Multi-Cap			0.43%	-10.68%	-10.23%	-7.05%	-10.85%	7.61%				
Motilal Oswal Active Momentum Dir Gr	Direct Plan	Equity - Other			-0.40%	-9.76%	-12.25%	-4.64%	-13.07%	7.44%				
UTI Nifty India Manufacturing Idx Dir Gr	Direct Plan	Index Funds			-0.36%	-10.97%	-7.78%	-5.14%	-8.92%	7.27%				
WhiteOak Capital Phrm and Hlthcr Dir Gr	Direct Plan	Sector - Healthcare			0.66%	-3.75%	-1.40%	-0.14%	-2.11%	6.91%	17.99%			
Axis India Manufacturing Dir Gr	Direct Plan	Equity - Other			0.22%	-9.30%	-5.51%	-5.24%	-6.74%	6.60%	7.89%			
Helios Mid Cap Dir Gr	Direct Plan	Mid-Cap			0.27%	-10.19%	-13.50%	-11.06%	-14.37%	6.58%				
Invesco India Business Cycle Dir Gr	Direct Plan	Equity - Other			-0.36%	-12.16%	-12.78%	-11.11%	-13.46%	6.51%				
TrustMF Small Cap Dir Gr	Direct Plan	Small-Cap			-1.00%	-7.63%	-8.98%	-4.52%	-8.98%	5.98%				
Baroda BNP Paribas Engy Opps Dir Gr	Direct Plan	Sector - Energy			-0.35%	-7.80%	-1.38%	-1.08%	-3.12%	5.52%				
Canara Robeco Manufacturing Dir Gr	Direct Plan	Equity - Other			-1.52%	-9.89%	-8.33%	-8.76%	-8.33%	5.42%	7.08%			
Baroda BNP Paribas Innovation Dir Gr	Direct Plan	Equity - Other			0.37%	-7.82%	-8.93%	-5.49%	-9.34%	5.36%	6.69%			
Mahindra Manulife Business Cycl Dr Gr	Direct Plan	Equity - Other			-0.28%	-9.55%	-8.73%	-2.90%	-9.45%	5.18%	6.73%			
Mahindra Manulife Value Dir Gr	Direct Plan	Value			-0.24%	-9.90%	-8.44%	-2.44%	-9.29%	5.13%				
Kotak Healthcare Dir Gr	Direct Plan	Sector - Healthcare			1.07%	-4.14%	0.48%	0.98%	-0.36%	4.77%	9.50%			
Mirae Asset Small Cap Dir Gr	Direct Plan	Small-Cap			0.68%	-9.06%	-11.03%	-9.28%	-11.88%	4.13%				
PGIM India Healthcare Dir Gr	Direct Plan	Sector - Healthcare			1.03%	-4.39%	-1.51%	1.24%	-2.20%	4.03%				
DSP Banking & Financial Svcs Dir Gr	Direct Plan	Sector - Financial Services			-0.97%	-12.93%	-10.75%	-4.46%	-11.66%	3.88%	13.97%			
Mahindra Manulife Manufactrng Dir Gr	Direct Plan	Equity - Other			-0.46%	-9.38%	-8.33%	-7.11%	-9.46%	3.87%				
TataNfty500Mltcp Ind Mnfc Idx Dr Gr	Direct Plan	Index Funds			-0.15%	-9.71%	-8.94%	-6.65%	-10.14%	3.78%				
Bandhan Innovation Dir Gr	Direct Plan	Equity - Other			-0.50%	-9.74%	-11.32%	-9.07%	-12.06%	3.67%				
DSP BSE SENSEX Next 30 Index Dir Gr	Direct Plan	Index Funds			0.05%	-9.98%	-7.75%	-3.63%	-8.73%	3.62%				
HSBC Financial Services Dir Gr	Direct Plan	Sector - Financial Services			-0.92%	-12.98%	-11.47%	-4.87%	-12.28%	3.21%				
Kotak Nifty Midcap 50 Index Dir Gr	Direct Plan	Index Funds			-0.13%	-10.66%	-12.14%	-5.97%	-13.13%	3.01%				
Helios Large & Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap			-0.51%	-12.17%	-12.80%	-9.90%	-13.65%	2.85%				
HDFC Manufacturing Dir Gr	Direct Plan	Equity - Other			-2.05%	-11.10%	-10.65%	-8.88%	-10.65%	2.68%				
Bajaj Finserv Flexi Cap Dir Gr	Direct Plan	Flexi Cap			0.75%	-10.81%	-10.85%	-8.28%	-11.60%	2.68%	7.61%			
Aditya BSL Quant Dir Gr	Direct Plan	Equity - Other			0.22%	-13.20%	-11.00%	-4.49%	-11.86%	2.47%				
Motilal Oswal Innovation Opps Dir Gr	Direct Plan	Equity - Other			-0.46%	-9.09%	-12.75%	-15.02%	-13.78%	2.45%				
Whiteoak Capital Large & Mid Cap Dir Gr	Direct Plan	Large & Mid-Cap			0.06%	-10.01%	-11.03%	-7.06%	-11.83%	2.43%	7.02%			
ITI Focused Dir Gr	Direct Plan	Focused Fund			-1.55%	-11.37%	-12.13%	-6.72%	-12.13%	2.34%	6.68%			
Quant Healthcare Dir Gr	Direct Plan	Sector - Healthcare			-0.77%	-5.34%	-4.96%	-4.35%	-4.96%	2.19%	5.66%			
Nippon India Active Momentum Dir Gr	Direct Plan	Equity - Other			0.49%	-10.79%	-9.57%	-5.30%	-10.47%	2.15%				
Kotak Nifty Fincl Svcs Ex-Bk Idx Dir Gr	Direct Plan	Index Funds			-1.45%	-13.87%	-14.97%	-8.34%	-15.73%	2.11%	8.72%			
WhiteOak Capital Multi Cap Dir Gr	Direct Plan	Multi-Cap			0.49%	-9.51%	-11.74%	-8.85%	-12.54%	1.97%	8.02%			
HDFC NIFTY Midcap 150 Index Dir Gr	Direct Plan	Index Funds			-2.53%	-11.08%	-12.71%	-7.58%	-12.71%	1.87%	4.70%			
Tata Nifty MidSmall Hlthcr Idx DirGr	Direct Plan	Index Funds			1.89%	-5.16%	-3.70%	-3.47%	-4.98%	1.86%				
Bank of India Consumption Dir Gr	Direct Plan	Equity - Consumption			0.00%	-8.20%	-13.04%	-11.86%	-13.73%	1.78%				
Motilal Oswal Nifty MdSm Hlthcr IdxDrGr	Direct Plan	Index Funds			1.88%	-5.17%	-3.73%	-3.54%	-5.01%	1.75%				
Baroda BNP P NIFTY Midcap 150 Idx Dir Gr	Direct Plan	Index Funds			-0.06%	-11.03%	-11.89%	-7.66%	-12.74%	1.74%				
SBI Energy Opportunities Dir Gr	Direct Plan	Sector - Energy			0.69%	-11.48%	-6.94%	-5.90%	-9.08%	1.74%	-0.45%			
UTI Nifty Midcap 150 Index Dir Gr	Direct Plan	Index Funds			-0.08%	-11.10%	-11.89%	-7.65%	-12.74%	1.72%				
UTI Nifty50 Equal Weight Index Dir Gr	Direct Plan	Index Funds			-0.17%	-10.67%	-10.45%	-6.22%	-11.26%	1.70%	2.91%			
WhiteOak Capital Special Opps Dir Gr	Direct Plan	Equity - Other			-0.30%	-10.11%	-11.85%	-8.70%	-12.52%	1.68%				
Groww Banking & Fincl Svcs Dir Gr	Direct Plan	Sector - Financial Services			-2.94%	-12.01%	-11.66%	-6.88%	-11.66%	1.66%	4.41%			
SBI Nifty50 Equal Weight Idx Dir Gr	Direct Plan	Index Funds			-0.17%	-10.69%	-10.47%	-6.28%	-11.29%	1.64%	2.96%			
Bajaj Finserv Healthcare Dir Gr	Direct Plan	Sector - Healthcare			1.22%	-4.30%	-4.58%	-3.28%	-5.47%	1.60%				
Bandhan Nifty Midcap 150 Index Dir Gr	Direct Plan	Index Funds			-0.11%	-11.11%	-11.86%	-7.55%	-12.71%	1.52%				
HSBC India Export Opports Dir Gr	Direct Plan	Equity - Other			1.01%	-8.13%	-10.82%	-6.47%	-11.72%	1.34%				
Kotak Nifty 50 Equal Weight Idx Dir Gr	Direct Plan	Index Funds			-0.19%	-10.71%	-10.50%	-6.35%	-11.31%	1.23%				
Mirae Asset Multicap Dir Gr	Direct Plan	Multi-Cap			-0.74%	-11.49%	-13.39%	-10.12%	-14.13%	1.15%	4.94%			
Bandhan BSE Healthcare Index Dir Gr	Direct Plan	Index Funds			1.09%	-4.90%	-3.75%	-3.01%	-4.57%	1.09%				
Edelweiss Technology Fund Dir Gr	Direct Plan	Sector - Technology			-1.74%	-4.95%	-16.12%	-10.93%	-16.12%	0.90%	3.67%			
ICICI Prudential Rural Opps Dir Gr	Direct Plan	Equity - Other			-0.97%	-12.38%	-13.05%	-10.93%	-13.79%	0.89%				
DSP Business Cycle Dir Gr	Direct Plan	Equity - Other			-0.11%	-10.54%	-8.56%	-5.76%	-9.51%	0.88%				
Quantum Small Cap Dir Gr	Direct Plan	Small-Cap			-2.33%	-11.09%	-13.21%	-10.95%	-13.21%	0.80%	4.04%			
PGIM India Multi Cap Dir Gr	Direct Plan	Multi-Cap			0.00%	-9.81%	-10.26%	-9.08%	-11.14%	0.67%				
SBI Quant Dir Gr	Direct Plan	Equity - Other			-0.47%	-12.73%	-11.47%	-3.09%	-12.01%	0.62%				
Invesco India Manufacturing Dir Gr	Direct Plan	Equity - Other			0.11%	-10.98%	-7.26%	-9.86%	-8.54%	0.54%				
Kotak Nifty Midcap 150 Index Dir Gr	Direct Plan	Index Funds			-0.09%	-11.14%	-11.94%	-7.70%	-12.78%	0.39%				
Helios Flexi Cap Dir Gr	Direct Plan	Flexi Cap			-2.91%	-11.13%	-14.39%	-11.31%	-14.39%	0.30%	5.40%			
Edelweiss Multi Cap Dir Gr	Direct Plan	Multi-Cap			-1.96%	-10.38%	-11.92%	-7.00%	-11.92%	0.26%	5.62%			
Old Bridge Focused Dir Gr	Direct Plan	Focused Fund			-1.82%	-9.55%	-11.46%	-3.40%	-11.46%	0.18%	6.96%			
ICICI Pru Innovt Dir Gr	Direct Plan	Equity - Other			-0.23%	-9.72%	-13.38%	-9.43%	-14.03%	0.12%	5.93%			
Tata BSE Sel Business Grps Idx Dir Gr	Direct Plan	Index Funds			-0.17%	-10.26%	-12.69%	-6.48%	-13.57%	0.03%				
Kotak Special Opportunities Dir Gr	Direct Plan	Equity - Other			0.38%	-10.53%	-13.86%	-9.94%	-14.55%	0.01%				
Motilal Oswal Manufacturing Dir Gr	Direct Plan	Equity - Other			-1.02%	-9.07%	-10.82%	-13.74%	-11.71%	-0.06%				
Kotak Consumption Dir Gr	Direct Plan	Equity - Consumption			0.21%	-9.43%	-15.12%	-13.18%	-15.51%	-0.07%	8.18%			
Canara Robeco Multi Cap Dir Gr	Direct Plan	Multi-Cap			-1.91%	-10.03%	-13.42%	-9.61%	-13.42%	-0.07%	5.74%			
Bajaj Finserv Large Cap Dir Gr	Direct Plan	Large-Cap			-0.50%	-10.77%	-10.74%	-5.80%	-11.39%	-0.11%				
Baroda BNP Paribas Small Cap Dir Gr	Direct Plan	Small-Cap			1.95%	-6.88%	-9.22%	-8.80%	-9.88%	-0.21%	2.02%			
Union Innovation & Opports Dir Gr	Direct Plan	Equity - Other			-1.47%	-7.82%	-13.40%	-13.22%	-13.40%	-0.24%	6.52%			
ZerodhaELSSTaxSavrNftyLrgMdcap250IdxDrGr	Direct Plan	ELSS (Tax Savings)			-0.51%	-11.32%	-12.56%	-8.22%	-13.32%	-0.59%	3.35%			
Zerodha Nifty LargeMidcap 250 Idx Dir Gr	Direct Plan	Index Funds			-0.52%	-11.32%	-12.57%	-8.25%	-13.34%	-0.65%	3.26%			
