Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Mirae Asset Midcap Dir Gr	Direct Plan	Mid Cap Fund	3.0		-0.45%	-11.19%	-12.59%	-8.58%	-13.59%	6.04%	5.90%	19.06%	16.75%	
Franklin India Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	3.0		-0.35%	-11.15%	-13.84%	-10.15%	-14.60%	-3.89%	6.04%	18.94%	14.83%	14.98%
DSP Midcap Dir Gr	Direct Plan	Mid Cap Fund	3.0		0.23%	-11.11%	-9.48%	-8.22%	-10.59%	2.83%	7.97%	18.93%	12.92%	15.33%
Canara Robeco Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	3.0		0.06%	-9.81%	-10.52%	-9.41%	-11.51%	3.90%	6.68%	18.58%		
LIC MF Midcap Fund Dir Gr	Direct Plan	Mid Cap Fund	2.0		-0.13%	-11.38%	-12.84%	-11.33%	-13.86%	-3.98%	4.70%	18.52%	13.17%	
Axis Midcap Dir Gr	Direct Plan	Mid Cap Fund	4.0		0.18%	-9.83%	-8.19%	-7.54%	-9.04%	2.37%	7.34%	18.49%	14.82%	17.63%
Aditya BSL Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	2.0		-0.11%	-10.73%	-12.50%	-8.88%	-13.17%	-1.31%	5.45%	18.45%	15.59%	14.07%
UTI Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	3.0		0.30%	-10.69%	-11.15%	-9.24%	-12.11%	0.09%	3.92%	15.80%	13.66%	14.55%
Quant Mid Cap Dir Gr	Direct Plan	Mid Cap Fund	3.0		1.07%	-4.00%	-9.39%	-7.48%	-9.83%	-6.75%	-4.58%	15.67%	18.85%	16.85%
SBI Midcap Dir Gr	Direct Plan	Mid Cap Fund	3.0		-0.50%	-11.48%	-10.85%	-7.29%	-11.90%	-4.55%	2.23%	14.63%	15.19%	14.82%
Taurus Discovery (Midcap) Dir Gr	Direct Plan	Mid Cap Fund	2.0		-0.93%	-11.52%	-13.95%	-14.16%	-14.67%	-4.48%	-2.68%	13.40%	11.53%	14.45%
PGIM India Midcap Fund Dir Gr	Direct Plan	Mid Cap Fund	2.0		0.35%	-10.57%	-11.25%	-11.98%	-12.20%	-2.56%	3.22%	12.13%	13.98%	16.42%
Helios Mid Cap Dir Gr	Direct Plan	Mid Cap Fund			0.27%	-10.19%	-13.50%	-11.06%	-14.37%	6.58%				
Bank of India Mid Cap Dir Gr	Direct Plan	Mid Cap Fund			0.56%	-7.35%	-7.92%	-9.23%	-9.04%					
